Model,Mean Accuracy,Standard Deviation
SupportVectorClassifier,0.9785714285714286,0.03273268353539884
StochasticGradientDecentC,0.9714285714285715,0.04738035414793429
RandomForestClassifier,0.9790476190476192,0.03202889851580996
DecisionTreeClassifier,0.9223809523809523,0.08653181554804462
GaussianNB,0.9576190476190476,0.047113988274783775
KNeighborsClassifier,0.9580952380952381,0.04684126715183977
AdaBoostClassifier,0.9157142857142857,0.07637032344998203
LogisticRegression,0.9785714285714286,0.03273268353539884
